GrLivArea,BedroomAbvGr,Neighborhood,SalePrice
1284,2,OldTown,110000
1442,3,Gilbert,180500
1696,3,Sawyer,143900
1100,3,NAmes,141000
2062,3,SawyerW,277000
1092,3,NAmes,145000
864,2,Edwards,98000
1212,3,Edwards,186000
1852,3,Somerst,252678
990,3,CollgCr,156000
1392,3,CollgCr,161750
1236,2,NAmes,134450
1436,3,CollgCr,210000
1328,3,OldTown,107000
1954,3,Crawfor,311500
1248,2,Blmngtn,167240
1498,2,CollgCr,204900
2267,4,Gilbert,200000
1552,3,NWAmes,179900
864,2,NAmes,97000
2392,3,NridgHt,386250
1302,3,BrDale,112000
2520,4,NoRidge,290000
987,2,BrDale,106000
912,3,Sawyer,125000
1555,2,Blmngtn,192500
1194,3,NAmes,148000
2794,4,NoRidge,403000
987,2,BrDale,94500
894,3,CollgCr,128200
1960,4,Gilbert,216500
987,2,BrDale,89500
1414,3,CollgCr,185500
1744,3,SawyerW,194500
1694,3,NridgHt,318000
1487,3,Edwards,113000
1566,3,Somerst,262500
866,2,OldTown,110500
1440,3,OldTown,79000
1217,3,SawyerW,120000
2110,3,SawyerW,205000
1872,3,NWAmes,241500
1928,4,OldTown,137000
1375,2,NAmes,140000
1668,3,CollgCr,180000
2144,4,ClearCr,277000
1306,3,BrkSide,76500
1625,2,Crawfor,235000
1640,3,SawyerW,173000
1302,3,NAmes,158000
1314,3,NAmes,145000
2291,4,Gilbert,230000
1728,3,Somerst,207500
1604,3,CollgCr,220000
1792,3,CollgCr,231500
882,2,OldTown,97000
1382,3,NAmes,176000
2574,3,CollgCr,276000
1212,3,Sawyer,151000
1316,3,OldTown,130000
764,2,OldTown,73000
1422,3,NWAmes,175500
1511,3,Gilbert,185000
2192,4,SWISU,179500
778,2,IDOTRR,120500
1113,3,Edwards,148000
1939,3,Somerst,266000
1363,2,ClearCr,241500
2270,4,NoRidge,290000
1632,3,NAmes,139000
816,2,Mitchel,124500
1548,3,BrkSide,205000
1560,3,Mitchel,201000
864,2,Gilbert,141000
2121,3,NridgHt,415298
2022,4,ClearCr,192000
1982,3,SawyerW,228500
1262,2,Somerst,185000
1314,2,NridgHt,207500
1468,3,Somerst,244600
1575,2,SawyerW,179200
1250,2,Somerst,164700
1734,3,NAmes,159000
858,3,NAmes,88000
900,3,Sawyer,122000
1396,3,BrkSide,153575
1919,3,CollgCr,233230
1716,6,SWISU,135900
1716,3,Edwards,131000
2263,3,NWAmes,235000
1644,3,NAmes,167000
1003,3,Mitchel,142500
1558,4,IDOTRR,152000
1950,3,Somerst,239000
1743,3,NWAmes,175000
1152,3,Crawfor,158500
1336,2,Crawfor,157000
2452,4,CollgCr,267000
1541,3,CollgCr,205000
894,3,CollgCr,149900
3493,3,OldTown,295000
2000,3,CollgCr,305900
2243,4,SawyerW,225000
1406,3,IDOTRR,89500
861,1,Edwards,82500
1944,3,NridgHt,360000
1501,3,Gilbert,165600
972,2,NAmes,132000
1118,3,OldTown,119900
2036,3,Timber,375000
1641,3,OldTown,178000
1432,3,Gilbert,188500
2353,4,NWAmes,260000
1959,3,Somerst,270000
2646,4,NoRidge,260000
1472,3,NWAmes,187500
2596,4,NridgHt,342643
2468,4,NridgHt,354000
2730,4,SawyerW,301000
1163,3,OldTown,126175
2978,5,NAmes,242000
803,2,IDOTRR,87000
1719,1,Veenker,324000
1383,3,NAmes,145250
2134,5,BrkSide,214500
1192,3,IDOTRR,78000
1728,6,NAmes,119000
1056,3,NAmes,139000
1629,3,NridgHt,284000
1358,2,NridgHt,207000
1638,3,Gilbert,192000
1786,3,Timber,228950
1922,3,StoneBr,377426
1536,3,CollgCr,214000
1621,3,NWAmes,202500
1215,3,NAmes,155000
1908,4,Timber,202900
841,2,SawyerW,82000
1040,2,NAmes,87500
1684,2,NridgHt,266000
1112,3,MeadowV,85000
1577,3,BrkSide,140200
958,2,NAmes,151500
1478,3,NAmes,157500
1626,2,NridgHt,154000
2728,4,NridgHt,437154
1869,2,NridgHt,318061
1453,2,ClearCr,190000
1111,3,Edwards,95000
720,2,OldTown,105900
1595,2,SWISU,140000
1200,3,CollgCr,177500
1167,3,Gilbert,173000
1142,3,MeadowV,134000
1352,3,ClearCr,130000
1924,3,NoRidge,280000
912,2,Mitchel,156000
1505,3,BrkSide,145000
1922,4,Edwards,198500
987,2,BrDale,118000
1574,3,NWAmes,190000
1344,3,IDOTRR,147000
1394,3,NAmes,159000
1431,3,NAmes,165000
1268,2,NAmes,132000
1287,3,NAmes,162000
1664,3,Gilbert,172400
1588,4,ClearCr,134432
752,2,SawyerW,125000
1319,3,NAmes,123000
1928,4,CollgCr,219500
904,1,Edwards,61000
914,2,CollgCr,148000
2466,4,Somerst,340000
1856,1,StoneBr,394432
1800,3,Gilbert,179000
1691,3,SWISU,127000
1301,2,Somerst,187750
1797,3,CollgCr,213500
784,2,SawyerW,76000
1953,3,ClearCr,240000
1269,2,Blmngtn,192000
1184,5,Edwards,81000
1125,3,Edwards,125000
1479,3,CollgCr,191000
2332,3,NridgHt,426000
1367,4,Edwards,119000
1961,3,Mitchel,215000
882,3,NAmes,106500
788,2,BrkSide,100000
1034,2,OldTown,109000
1144,3,Edwards,129000
894,2,CollgCr,123000
1812,4,NAmes,169500
1077,2,IDOTRR,67000
1550,2,Somerst,241000
1288,1,Veenker,245500
1310,3,CollgCr,164990
672,2,Sawyer,108000
2263,4,NoRidge,258000
1572,3,Gilbert,168000
1620,3,Sawyer,150000
1639,3,SWISU,115000
1680,4,Crawfor,177000
2172,3,NridgHt,280000
2078,3,Somerst,339750
1276,3,Edwards,60000
1056,3,Gilbert,145000
1478,2,Somerst,222000
1028,2,OldTown,115000
2097,3,SawyerW,228000
1340,3,Gilbert,181134
1400,3,Sawyer,149500
2624,4,Crawfor,239000
1134,3,Edwards,126000
1056,3,NAmes,142000
1344,2,Mitchel,206300
1602,3,NWAmes,215000
988,2,Mitchel,113000
2630,4,NoRidge,315000
1196,2,NAmes,139000
1389,3,OldTown,135000
1644,2,SawyerW,275000
907,3,NAmes,109008
1208,2,CollgCr,195400
1412,3,Timber,175000
987,2,BrDale,85400
1198,4,OldTown,79900
1365,2,BrDale,122500
1604,3,Gilbert,181000
630,1,MeadowV,81000
1661,3,CollgCr,212000
1118,2,OldTown,116000
904,2,BrkSide,119000
694,2,Crawfor,90350
1196,3,Edwards,110000
2402,2,NridgHt,555000
1440,4,Edwards,118000
1573,3,BrkSide,162900
1258,2,Blmngtn,172500
1908,4,CollgCr,210000
1689,3,Edwards,127500
1888,2,NAmes,190000
1886,4,Gilbert,199900
1376,3,IDOTRR,119500
1183,2,OldTown,120000
813,2,OldTown,110000
1533,2,ClearCr,280000
1756,3,Timber,204000
1590,3,Somerst,210000
1728,4,Mitchel,188000
1242,3,NWAmes,175500
1344,4,OldTown,98000
1663,2,ClearCr,256000
1666,3,OldTown,161000
1203,3,BrkSide,110000
1935,3,Somerst,263435
1135,3,SWISU,155000
864,3,Sawyer,62383
1660,3,Crawfor,188700
1040,3,CollgCr,124000
1414,2,Blmngtn,178740
1277,2,NAmes,167000
1644,3,NAmes,146500
1634,3,NridgHt,250000
1710,3,SawyerW,187000
1502,1,StoneBr,212000
1969,3,NWAmes,190000
1072,2,Edwards,148000
1976,2,NridgHt,440000
1652,2,StoneBr,251000
970,2,Sawyer,132500
1493,3,CollgCr,208900
2643,3,NridgHt,380000
1718,3,CollgCr,297000
1131,2,OldTown,89471
1850,3,NridgHt,326000
1792,2,NridgHt,374000
1826,4,OldTown,155000
1216,2,Mitchel,164000
999,3,Sawyer,132500
1113,3,NAmes,147000
1073,3,NAmes,156000
1484,3,NWAmes,175000
2414,3,OldTown,160000
630,1,MeadowV,86000
1304,3,MeadowV,115000
1578,3,NAmes,133000
1456,3,Gilbert,172785
1269,3,NAmes,155000
886,2,OldTown,91300
720,2,IDOTRR,34900
3228,4,NoRidge,430000
1820,4,BrkSide,184000
899,3,Sawyer,130000
912,2,NAmes,120000
