GrLivArea,BedroomAbvGr,Neighborhood,SalePrice
1728,6,NAmes,142600
1626,2,NridgHt,154000
1496,3,Gilbert,179665
790,2,SWISU,91000
1935,3,NWAmes,197900
1964,4,NWAmes,205000
1666,3,OldTown,161000
985,3,CollgCr,149900
1358,2,NridgHt,207000
848,1,CollgCr,143000
1970,3,NridgHt,281000
2046,3,StoneBr,372500
1865,3,CollgCr,235000
2134,5,BrkSide,214500
2646,4,NoRidge,260000
1236,2,OldTown,149700
902,2,Mitchel,131000
912,2,Sawyer,144000
1656,3,NAmes,215000
1382,3,NAmes,176000
2020,4,SawyerW,144000
1052,3,ClearCr,155000
2531,4,NoRidge,290000
1852,3,CollgCr,230000
1660,3,Somerst,290000
1709,2,Somerst,328900
912,3,Sawyer,142000
1764,3,CollgCr,231500
1395,3,NWAmes,162000
1040,3,Sawyer,133000
2392,3,NridgHt,386250
1103,2,OldTown,110500
2078,3,Somerst,339750
803,2,IDOTRR,87000
1152,3,Crawfor,158500
1173,3,NWAmes,170000
1092,3,IDOTRR,55000
1784,4,Crawfor,138887
1920,4,NWAmes,170000
1670,3,Gilbert,240000
1223,2,Somerst,147400
1801,1,Crawfor,289000
1656,4,NWAmes,135000
1717,3,Crawfor,140000
2599,4,NoRidge,333168
1644,3,NAmes,146500
2468,4,NridgHt,354000
1362,1,Mitchel,143000
1484,2,Timber,265900
1200,1,NAmes,146000
1350,3,NWAmes,165000
1152,2,Edwards,82000
1680,3,NWAmes,213250
1440,3,OldTown,79000
1214,3,NAmes,143000
1479,3,Sawyer,130500
1801,3,Gilbert,239900
1494,3,Crawfor,177500
2329,4,SawyerW,262280
1588,3,Somerst,227000
1194,3,NAmes,159500
1494,3,CollgCr,217000
3238,4,NoRidge,410000
914,2,CollgCr,148000
1641,3,OldTown,178000
1573,3,BrkSide,162900
1472,3,NWAmes,187500
1750,4,Mitchel,160000
1768,3,CollgCr,212000
1196,2,NAmes,139000
1126,2,Edwards,108000
845,3,Edwards,84000
1968,4,Mitchel,172000
1221,4,Edwards,104900
1368,3,OldTown,114504
987,2,BrDale,106000
1442,3,SawyerW,179900
1220,2,Edwards,102000
1500,3,CollgCr,190000
2450,3,NoRidge,340000
2207,3,NAmes,180000
1208,2,CollgCr,206000
1795,4,OldTown,131500
1440,4,Edwards,150000
1212,3,Edwards,186000
1111,2,OldTown,116900
2715,4,NWAmes,299800
1724,3,CollgCr,188000
1328,3,NWAmes,143000
1052,3,NAmes,138500
2417,4,NoRidge,260000
948,3,Edwards,119000
2019,3,BrkSide,167500
869,2,BrkSide,85500
1554,2,NridgHt,209500
2112,4,NAmes,206900
1416,3,Sawyer,112000
1593,3,Gilbert,193000
1381,3,NWAmes,197500
1632,3,NAmes,139000
954,2,Crawfor,119750
1922,4,Edwards,198500
980,3,Sawyer,135000
1786,3,CollgCr,223500
1694,3,Somerst,307000
972,2,NAmes,132000
1437,3,Sawyer,168000
2263,3,CollgCr,287000
1725,3,NWAmes,197000
1236,2,NAmes,134450
1040,3,NAmes,133700
1704,3,NridgHt,306000
1523,3,NWAmes,180000
1489,3,Somerst,232600
1569,1,Blmngtn,175900
1212,3,CollgCr,178000
1573,3,CollgCr,227000
1790,4,NWAmes,165150
1576,3,BrkSide,223500
1728,3,Somerst,207500
1600,3,NridgHt,256300
1922,3,StoneBr,377426
1692,3,Timber,224500
1656,3,Somerst,249700
1047,2,OldTown,100000
2728,4,NridgHt,437154
1425,3,NAmes,180500
952,2,BrkSide,121000
990,3,CollgCr,156000
988,1,ClearCr,180000
1056,2,SawyerW,107000
1746,3,Gilbert,377500
1718,3,Gilbert,185000
1464,3,Sawyer,175000
1660,3,CollgCr,195000
1752,2,NridgHt,319900
2620,4,Sawyer,190000
4676,3,Edwards,184750
784,2,BrkSide,109500
1120,3,Sawyer,129000
1382,3,Sawyer,148000
1386,3,Sawyer,158900
334,1,BrkSide,39300
1200,2,Somerst,151000
1414,2,Blmngtn,178740
1584,4,NAmes,124000
1517,3,Crawfor,230000
1258,3,NWAmes,145000
902,3,Sawyer,125500
1158,3,SawyerW,158000
964,2,Crawfor,163500
2380,3,NAmes,129000
1232,2,CollgCr,194500
864,3,CollgCr,127000
1982,3,SawyerW,228500
1924,3,NoRidge,280000
2080,3,Crawfor,234000
1647,3,Gilbert,175000
1617,2,SawyerW,193000
1340,3,Edwards,120000
1940,3,NridgHt,395192
1855,4,Edwards,136900
884,2,SawyerW,144000
1626,2,NridgHt,175500
1284,2,OldTown,110000
2290,4,CollgCr,255900
816,2,IDOTRR,110000
2183,4,NWAmes,229000
1869,2,OldTown,124900
1646,4,Crawfor,164000
1844,2,SawyerW,257000
1571,3,Timber,239000
2082,3,OldTown,200000
1959,5,Mitchel,171000
2374,4,NridgHt,285000
2142,4,NAmes,193500
1200,2,Somerst,144152
1992,3,Somerst,250000
2285,4,NoRidge,248000
1824,2,ClearCr,302000
1850,3,NridgHt,326000
1355,4,Edwards,127500
1668,3,CollgCr,180000
1406,3,IDOTRR,89500
1888,2,NAmes,190000
1228,2,StoneBr,189000
1638,3,Gilbert,192000
960,3,Edwards,94750
1698,3,Edwards,320000
1063,3,NAmes,128000
1236,3,Sawyer,135000
1535,4,SawyerW,118964
630,1,MeadowV,81000
1092,3,MeadowV,88000
1652,2,NridgHt,325000
1144,3,NAmes,139950
1795,2,Somerst,147000
1541,3,CollgCr,205000
1507,4,NAmes,127000
1441,2,Somerst,174000
1479,3,CollgCr,191000
987,2,BrDale,89500
672,2,Edwards,113000
2192,4,SWISU,179500
2000,3,CollgCr,305900
1125,2,Edwards,155000
1124,3,Edwards,93000
1839,3,Crawfor,257500
2144,4,ClearCr,277000
2260,3,ClearCr,328000
1977,4,NAmes,165000
845,2,Mitchel,129500
1786,3,CollgCr,204750
2555,3,Crawfor,191000
1700,4,NAmes,165500
1671,3,Gilbert,173000
1376,3,IDOTRR,119500
1689,3,Edwards,127500
2554,3,OldTown,159500
1416,4,OldTown,153900
816,2,NAmes,129900
1370,3,NWAmes,152000
1442,2,NWAmes,185000
1285,2,BrkSide,127000
1474,3,Gilbert,168500
2013,3,NoRidge,269790
1563,3,Somerst,245000
1663,2,ClearCr,256000
1192,4,NAmes,135000
1774,4,OldTown,87000
1962,3,CollgCr,239799
1302,3,Gilbert,176485
1118,2,OldTown,116000
1766,2,Somerst,370878
1253,3,Gilbert,176000
1097,3,SawyerW,152000
1078,3,NAmes,149900
1572,3,Gilbert,168000
1524,0,ClearCr,260000
2060,3,Gilbert,214000
1344,3,Timber,137500
1818,4,IDOTRR,169500
1029,3,Sawyer,118500
2521,5,MeadowV,151400
1500,3,CollgCr,173900
2217,4,NAmes,268000
1370,2,NridgHt,202500
1262,2,Somerst,185000
1894,4,Timber,214900
1694,3,NridgHt,318000
864,2,NAmes,97000
1709,3,Edwards,130000
1738,4,NAmes,104900
1319,3,NAmes,123000
3222,5,SawyerW,320000
1355,3,IDOTRR,127000
1306,3,BrkSide,76500
768,2,CollgCr,133000
1077,2,BrkSide,118000
1183,2,OldTown,120000
1456,3,Gilbert,179540
2291,4,Gilbert,230000
848,1,CollgCr,140000
2332,3,NridgHt,426000
1348,3,BrkSide,117000
2108,4,Edwards,235000
1336,3,IDOTRR,108000
5642,3,Edwards,160000
1344,2,NAmes,144000
1935,3,Somerst,263435
1470,4,Edwards,135000
2156,3,NWAmes,262500
1728,6,Sawyer,125000
1768,3,Somerst,226700
1048,3,NAmes,135000
1728,3,CollgCr,190000
2358,4,OldTown,122000
1146,3,Timber,187500
1601,3,CollgCr,272000
1920,4,Sawyer,172500
1363,3,OldTown,125500
1148,2,Edwards,123500
1294,2,CollgCr,193879
1248,2,OldTown,87000
1419,3,Gilbert,184100
1440,3,NWAmes,182900
1140,3,Mitchel,84500
2090,3,NWAmes,200000
1640,3,CollgCr,183000
1679,3,SawyerW,193500
1218,3,BrkSide,131000
1142,3,MeadowV,134000
1110,1,Mitchel,165500
1164,3,Edwards,125000
1192,3,IDOTRR,78000
1422,3,CollgCr,179600
894,3,Sawyer,130000
1953,3,Somerst,252000
1792,3,CollgCr,231500
924,2,Edwards,80000
752,2,SawyerW,125000
1740,3,Crawfor,219500
1593,3,Gilbert,178000
1385,4,NAmes,166000
1266,3,Somerst,176000
2021,3,Gilbert,274725
1334,2,NWAmes,167900
1252,2,Somerst,160000
2526,5,OldTown,136000
2402,2,NridgHt,555000
1362,3,BrkSide,128000
3627,4,NoRidge,625000
2520,4,NoRidge,290000
944,2,Edwards,82000
912,3,Sawyer,125000
1553,3,Somerst,186500
948,3,Edwards,111000
1852,3,Somerst,252678
1230,2,OldTown,110000
1080,3,SawyerW,141000
1250,3,Edwards,116000
1611,4,NAmes,167900
1949,3,SawyerW,236000
1369,3,Edwards,103600
1482,3,Gilbert,163900
1048,2,BrkSide,113000
1372,3,Somerst,250580
1296,2,Timber,220000
990,3,CollgCr,126000
1489,3,SWISU,139500
2172,3,NridgHt,280000
1266,2,Blmngtn,159895
1218,2,Somerst,208300
932,2,NAmes,124000
1322,3,NPkVill,147000
1635,2,OldTown,117000
1478,3,NAmes,157500
1184,5,Edwards,81000
1710,3,CollgCr,208500
912,2,Mitchel,156000
2126,3,ClearCr,185000
1394,3,Timber,167500
970,2,Sawyer,132500
1034,3,Mitchel,169900
1720,3,CollgCr,196500
1387,3,OldTown,93000
1357,2,Edwards,177000
1264,3,NAmes,167500
1484,3,Gilbert,174000
1767,2,StoneBr,239000
813,2,OldTown,110000
754,2,IDOTRR,84500
2069,4,NAmes,242000
1509,3,Timber,175000
1481,3,Gilbert,174000
960,3,BrkSide,129000
1040,2,NAmes,109900
1040,2,NAmes,90000
1802,4,Crawfor,200100
2610,4,Somerst,303477
1466,3,Edwards,149900
1652,4,OldTown,139000
2097,3,SawyerW,228000
1625,2,Crawfor,235000
2287,3,ClearCr,225000
2822,4,NridgHt,582933
2054,3,Gilbert,244000
1336,2,Crawfor,157000
894,3,Edwards,110000
1719,1,Veenker,324000
2127,3,NoRidge,271000
1251,3,NAmes,160000
912,2,NAmes,120000
968,2,OldTown,37900
1829,3,CollgCr,237000
1574,3,NWAmes,190000
720,2,IDOTRR,34900
1980,3,NridgHt,315000
1621,3,NWAmes,202500
1602,3,NWAmes,215000
1616,3,OldTown,152000
1600,2,NAmes,207500
2119,3,NWAmes,158000
1709,3,Edwards,130000
2110,3,NAmes,244000
774,3,Edwards,79000
796,2,IDOTRR,55000
1707,2,Timber,228000
2161,3,NridgHt,325624
1716,2,CollgCr,191000
1362,3,NAmes,163000
1796,3,CollgCr,211000
1652,2,Crawfor,392500
1482,3,OldTown,143000
1015,3,BrkSide,88000
1578,3,NAmes,133000
1086,3,NAmes,144900
1218,3,BrDale,91500
860,2,Sawyer,137000
1140,3,OldTown,96500
1502,3,Crawfor,149000
1165,3,NAmes,174900
1960,4,Gilbert,216500
2031,3,CollgCr,222500
1392,3,CollgCr,161750
1541,3,NridgHt,220000
1327,3,NAmes,150750
1324,3,BrkSide,128000
1552,3,NWAmes,179900
2810,4,NoRidge,302000
3608,4,OldTown,475000
1328,2,Timber,170000
2519,4,Timber,335000
1517,3,IDOTRR,115000
1057,3,NAmes,109000
2132,1,SawyerW,316600
1629,3,Timber,270000
1188,3,NAmes,142000
1464,3,Somerst,282922
1216,2,Mitchel,164000
1634,3,NridgHt,250000
924,3,NAmes,122900
1060,3,Sawyer,154000
1548,3,NPkVill,155000
438,1,SWISU,60000
747,2,OldTown,80000
892,3,NAmes,100000
1190,3,NAmes,132500
1394,3,NAmes,159000
1960,4,OldTown,124500
848,1,CollgCr,131500
1339,2,Timber,180000
784,2,SawyerW,76000
948,3,Sawyer,108000
1178,3,NWAmes,157000
1983,3,Gilbert,225000
1728,4,Mitchel,188000
764,2,OldTown,73000
988,2,MeadowV,91000
1224,2,Somerst,173733
987,2,BrDale,94500
1908,4,CollgCr,210000
1144,3,Edwards,129000
1032,3,NWAmes,148000
2060,4,ClearCr,211000
1114,3,SawyerW,159000
1724,3,NWAmes,197900
1218,3,BrDale,118000
841,2,SawyerW,82000
1088,2,StoneBr,170000
864,3,CollgCr,136500
1826,3,StoneBr,319000
1111,3,IDOTRR,101000
912,2,NAmes,147000
2270,4,NoRidge,290000
923,3,Mitchel,119500
910,3,NAmes,116000
1040,2,NAmes,92900
1374,2,OldTown,105000
2121,3,NridgHt,415298
1959,4,Gilbert,215000
1539,3,BrkSide,141500
1268,2,NAmes,132000
960,2,OldTown,108500
1097,3,CollgCr,145000
1768,2,OldTown,163000
1668,3,NAmes,140000
1392,2,NAmes,110000
1412,4,BrkSide,132500
1630,3,CollgCr,295493
1241,1,Somerst,199900
768,2,Mitchel,129500
1640,3,Crawfor,224000
1419,2,StoneBr,392000
1200,3,Edwards,179000
1479,4,NAmes,184000
1414,3,NAmes,176500
1344,4,OldTown,98000
2320,2,Gilbert,169000
788,2,BrkSide,100000
1441,3,NPkVill,148500
864,2,NAmes,127500
864,3,NAmes,120500
1776,4,NAmes,110000
1056,3,NAmes,142000
904,1,Edwards,61000
1478,2,Somerst,222000
1605,3,OldTown,107400
1790,3,CollgCr,193000
1868,4,NWAmes,197500
1218,3,BrDale,113000
2084,2,NridgHt,385000
1456,3,NPkVill,148500
1256,3,Edwards,147500
1509,3,Gilbert,183200
2320,3,Crawfor,259500
2624,4,Crawfor,239000
1375,3,IDOTRR,141000
1095,2,NAmes,140000
2200,4,Edwards,145900
1494,3,CollgCr,221000
1346,2,Edwards,112000
990,3,CollgCr,123600
2358,5,ClearCr,240000
833,2,OldTown,117000
2482,4,Timber,281213
2098,3,NridgHt,275500
899,3,Sawyer,130000
2324,4,NridgHt,345000
894,2,CollgCr,123000
1575,2,SawyerW,179200
848,1,CollgCr,141000
1690,3,OldTown,144000
1475,4,MeadowV,127000
1362,2,NridgHt,194700
1456,2,Blmngtn,215000
2462,4,Gilbert,320000
